route_short_name,route_long_name,route_type,route_id
,108DOWN,3,0
,108STLDOWN,3,1
,108STLUp,3,2
,108UP,3,3
,185DOWN,3,4
,185LnkSTLDown,3,5
,185LnkSTLUp,3,6
,185STLDOWN,3,7
,185STLUP,3,8
,185UP,3,9
,234CL_DOWN,3,10
,234CL_UP,3,11
,262DOWN,3,12
,262LinkSTLDown,3,13
,262LinkSTLUP,3,14
,262UP,3,15
,78DOWN,3,16
,78STLDOWN,3,17
,78STLUP,3,18
,78UP,3,19
,7LnkSTLDown,3,20
,7LnkSTLUp,3,21
,813CLDown,3,22
,813CLUP,3,23
,813LnkSTLDown,3,24
,813LnkSTLUp,3,25
,937ADOWN,3,26
,937AUP,3,27
,982LnkSTLDown,3,28
,982LnkSTLUp,3,29
,185LSTL2Down,3,30
,185LSTL2Up,3,31
,185LSTLDown,3,32
,185LSTLUp,3,33
,206ADown,3,34
,206AUp,3,35
,211DOWN,3,36
,211UP,3,37
,253DOWN,3,38
,253UP,3,39
,258DOWN,3,40
,258STLDown,3,41
,258STLUp,3,42
,258UP,3,43
,348Down,3,44
,348Up,3,45
,971LnkSTLDown,3,46
,971LnkSTLUp,3,47
,578ADown,3,48
,578AUp,3,49
,578DOWN,3,50
,578LSTLDown,3,51
,578LSTLUp,3,52
,578UP,3,53
,708_Down,3,54
,708_Up,3,55
,708ADown,3,56
,708AUp,3,57
,708STLDown,3,58
,708STLUp,3,59
,719ADOWN,3,60
,719AUP,3,61
,719DOWN,3,62
,719STLDown,3,63
,719STLUp,3,64
,719UP,3,65
,720DOWN,3,66
,720UP,3,67
,723Down,3,68
,723Up,3,69
,743ADown,3,70
,743ASTLUp,3,71
,743AUp,3,72
,743Down,3,73
,743STLDown,3,74
,743STLUp,3,75
,743Up,3,76
,745ADown,3,77
,745DOWN,3,78
,745EUp,3,79
,745STLDown,3,80
,745STLUp,3,81
,745UP,3,82
,753DOWN,3,83
,753UP,3,84
,764DOWN,3,85
,764MPSTLDown,3,86
,764MPSTLUp,3,87
,764MVSTLDown,3,88
,764MVSTLUp,3,89
,764SDown,3,90
,764SUp,3,91
,764UP,3,92
,770ADOWN,3,93
,770ALTDDown,3,94
,770ALTDUp,3,95
,770AUp,3,96
,770BDown,3,97
,770BUp,3,98
,774Down,3,99
,774STLDown,3,100
,774STLUp,3,101
,774Up,3,102
,775ADown,3,103
,775AUp,3,104
,778DOWN,3,105
,778UP,3,106
,790+825Up,3,107
,790+876UP,3,108
,790ADOWN,3,109
,790AUP,3,110
,790BDown,3,111
,790BUp,3,112
,790DOWN,3,113
,790STLDown,3,114
,790STLUp,3,115
,790UP,3,116
,824SSTLDown,3,117
,824SSTLUp,3,118
,824STLDown,3,119
,824STLUp,3,120
,825+790Down,3,121
,825STLDown,3,122
,825STLUp,3,123
,836AUp,3,124
,836DOWN,3,125
,836LSTLDown,3,126
,836LSTLUp,3,127
,836STLDown,3,128
,836STLUP,3,129
,836UP,3,130
,838ADown,3,131
,838DOWN,3,132
,838UP,3,133
,840Down,3,134
,840STLDown,3,135
,840STLUP,3,136
,840Up,3,137
,876+790Down,3,138
,876STLDOWN,3,139
,876STLUP,3,140
,878_Down,3,141
,878_Up,3,142
,878+578LTD_Down,3,143
,878+578LTD_Up,3,144
,878STLDown,3,145
,878STLUp,3,146
,891DOWN,3,147
,891STLDown,3,148
,891STLUp,3,149
,891UP,3,150
,893DOWN,3,151
,893UP,3,152
,911ADown,3,153
,911AUp,3,154
,978STLDown,3,155
,LTD_Up,3,156
,239Down,3,157
,239Up,3,158
,311ADown,3,159
,311AUp,3,160
,336ADown,3,161
,336AUp,3,162
,33LnkSTLDown,3,163
,33LnkSTLUp,3,164
,33LSTLDown,3,165
,33LSTLUp,3,166
,534DOWN,3,167
,534UP,3,168
,543ADown,3,169
,543AUp,3,170
,611BDOWN,3,171
,611BUP,3,172
,611DOWN,3,173
,611UP,3,174
,623DOWN,3,175
,623EXT UP,3,176
,623EXTDN,3,177
,623UP,3,178
,GL23Down,3,179
,GL23Up,3,180
,578STLDOWN,3,181
,578STLUP,3,182
,588DOWN,3,183
,588UP,3,184
,711DOWN,3,185
,711UP,3,186
,712Down,3,187
,712Up,3,188
,724DOWN,3,189
,724EXTUP,3,190
,724UP,3,191
,728ADown,3,192
,728AUp,3,193
,728EDown,3,194
,728EUp,3,195
,728STLUp,3,196
,729DOWN,3,197
,729UP,3,198
,740ExtDOWN,3,199
,740ExtUP,3,200
,761DOWN,3,201
,761UP,3,202
,764LinkstlDN,3,203
,764LnkSTLUp,3,204
,807ADown,3,205
,807AUp,3,206
,808Down,3,207
,808UP,3,208
,810DOWN,3,209
,810UP,3,210
,816ADOWN,3,211
,816AUP,3,212
,816Down,3,213
,816ExtDown,3,214
,816Up,3,215
,817ADown,3,216
,817AUp,3,217
,817BDown,3,218
,817BUp,3,219
,817Down,3,220
,817LnkSTLDown,3,221
,817LnkSTLUp,3,222
,817Up,3,223
,824LnkSTLDown,3,224
,824LnkSTLUp,3,225
,827LnkSTLUp,3,226
,827STLDown,3,227
,827STLUp,3,228
,832DOWN,3,229
,832LinkSTLDOWN,3,230
,832LinkSTLUP,3,231
