stop_id,stop_code,stop_name,stop_lat,stop_lon
0,U01761,Adarsh Nagar / Bharola Village,28.715917,77.170867
1,DC4248,British High Comission,28.598533,77.191383
2,U02398,Azad Market,28.6647,77.2084
3,U02416,Kidwai Nagar,28.5757,77.2097
4,DC4271,Rashid Market,28.6502,77.278667
5,U03074,Nehru Nagar,28.56915,77.253883
6,U02904,Sunder Nagar,28.602217,77.2404
7,DC4225,Suraj Mal Vihar,28.661283,77.303517
8,U02563,National Archives,28.6147,77.2185
9,U02922,Darya Ganj,28.6460833333333,77.2404
10,U00314,Nangli Sakrawati,28.614667,77.0034
11,U01623,B-4 Keshav Puram,28.68755,77.1625
12,U99637,Bawana Village,28.801917,77.039067
13,U00086,Mitraon Village,28.608213,76.947336
14,U03518,Hargovind Enclave,28.645667,77.300467
15,U00193,NajafGarh Dhansa Stand,28.6115,76.977817
16,U03678,Super Bazar,28.61335,77.3162
17,U99639,Kapashera Crossing,28.528867,77.08675
18,U03409,Batla House,28.562317,77.2861
19,U00429,Karala Village,28.7315,77.037
20,U00786,Manglapuri / Palam Village,28.5893166666667,77.08635
21,U02926,Delhi Gate (JLN Marg),28.640024,77.238077
22,U00828,Udyog Nagar,28.6803,77.0893
23,U01798,Ashok Vihar Water Tank,28.687017,77.173667
24,DC4148,Centaur Hotel / New Custom House,28.553099,77.103543
25,DC3956,Bhagwan Mahavir Hospital,28.687467,77.118117
26,U03522,Badarpur Village,28.502067,77.300033
27,U03766,Mayur Vihar Phase 3 Crossing,28.6018,77.32735
28,DC4394,Ranhola Extension,28.657906,77.043018
29,NS0252,COD Ring Road,28.613,77.1367166666667
30,DC4294,Samrat Enclave,28.685237,77.140696
31,DC4540,P S Narela,28.853365,77.088567
32,DC4686,Jatt Khor Crossing,28.788083,76.962633
33,U02690,ISBT Nityanand Marg,28.668342,77.225091
34,DC4663,CRPF Camp,28.716733,77.25785
35,U03580,Nand Nagari Depot,28.69905,77.306183
36,DC0008,Karala Crossing,28.7316,77.0319
37,U01038,Subhash Nagar Crossing / Mukherji Park,28.64192,77.108859
38,DC3814,ESI Hospital,28.726783,77.126333
39,U01075,Rohini Depot 1 Sec 6,28.71645,77.113467
40,U00305,Chhawla Village,28.5613,77.0021
41,U02615,Ayurvigyan Nagar,28.5604,77.2214
42,DC3691,A-3 Janak Puri,28.619633,77.079183
43,U00430,Mundka Xing,28.682267,77.035917
44,U01237,Dena Apartments,28.794767,77.129233
45,U02162,Roop Nagar,28.6842333333333,77.2023166666667
46,U03695,Jhilmil Xing,28.6763,77.3175
47,U02486,Panchsheel Club,28.543183,77.213617
48,DC4371,Rishal Garden,28.661717,77.04875
49,U01934,Anand Parvat Terminal,28.657113,77.1846
50,DC3979,Zafrabad School,28.68345,77.275017
51,U01725,Shalimar Bagh (Ring Road),28.7033,77.1689
52,DC3777,Balak Ram Hospital,28.707127,77.22279
53,U02525,Hauz Rani,28.5294,77.2159
54,U02714,PS Kamla Market,28.6429,77.2267
55,U02599,Timarpur,28.7012333333333,77.2212666666667
56,U00304,Chhawla Village,28.561492,77.001912
57,U01543,Shadipur Depot,28.653117,77.1555
58,DC3568,Dwarka More Metro Station (Sewak Park),28.619332,77.032508
59,DC4623,Rohini Sec 16/17,28.73845,77.117267
60,DC3545,NajafGarh Delhi Gate,28.61255,76.986917
61,DC4600,Katwaria Sarai,28.540617,77.18505
62,DC1101,Okhla Depot IV CWS II,28.518333,77.284867
63,DC0058,Mukharji Nagar Tank,28.7103,77.2111
64,U01621,B-4 Keshav Puram,28.687583,77.162267
65,U02119,DB Gupta Market,28.651733,77.1946
66,DC4042,Satyam Apartments,28.59875,77.318583
67,U02769,Pragati Vihar,28.5879,77.2293
68,U03006,ITO Ring Road,28.629817,77.24665
69,U00494,Sultan Pur Crossing / Poothkhurd,28.767867,77.049417
70,DC0114,Kalka Ji Crossing,28.55735,77.26965
71,U02369,Shri Ram College,28.689065,77.206953
72,U00375,Chanchal Park,28.646241,77.021823
73,U01449,Kathuria Public School (Sai Darbar Mandir),28.5309,77.146333
74,U01308,Naraina Vihar,28.627517,77.134183
75,DC3854,Prehlad Vihar (Deep Vihar),28.7348,77.0872
76,U01784,Moti Bagh Gurudawara Nanakpura,28.5848,77.1722
77,U03195,Laghu Udyog Sansthan(ModiMill),28.555533,77.265167
78,DC4211,Shalimar Bagh A Block,28.704881,77.169817
79,DC4188,The Uppal Hotel,28.536233,77.102017
80,U02866,Lady Shri Ram College,28.559,77.2373
81,U99725,AkbarRoad,28.61055,77.226083
82,U00761,APS Colony,28.574833,77.141583
83,DC4454,Purani Basti Rewla Tajpur,28.569584,76.977685
84,U02055,Lado Sarai Crossing,28.5273,77.19
85,DC4231,Vivek Vihar Terminal,28.668333,77.314417
86,U01822KWP,Kewal Park,28.7138,77.1799
87,DC3936,National Law University Delhi,28.598367,77.023583
88,DC0099,Onida Factory,28.513,77.2976
89,U02282,Race Course,28.5966,77.2033
90,U01372,Haidarpur Water Works,28.72155,77.140383
91,U02453,BBM Cluster Depot,28.703583,77.210683
92,U03353,Shakarpur,28.6338,77.28215
93,U01357,Punjabi Bagh East,28.6711,77.1393
94,DC4125,Ramesh Park,28.635617,77.26965
95,U03162,SNPD,28.561333,77.260117
96,U00385,Bawana Depot,28.803894,77.028469
97,DC4019,Dauralla Border,28.507925,76.896927
98,DC4517,Chandpur Xing,28.751714,77.014508
99,U00949,Shahbad Dairy Block A,28.7458,77.0985
100,DC3631,Palam Colony Flyover,28.51395,77.091517
101,DC4709,Dabri Crossing (Pankha Road),28.613716,77.085675
102,U00302,Sir Chhotu Ram Polytechnic,28.707177,77.001084
103,U02303,Aurobindo College,28.5327,77.2046
104,U00860,Sunder Vihar,28.6635,77.09225
105,DC4603,NCERT,28.537767,77.193833
106,U02043,Jia Sarai,28.5483,77.1897
107,NS0391,Ridge Road,28.632683,77.18875
108,DC4749,Chhawla Village,28.565657,77.003299
109,DC4062,C2D Janakpuri,28.614332,77.08708
110,DC4726,Dwarka Sec-23 Crossing,28.566703,77.040204
111,DC4626,ESI Hospital,28.726767,77.126317
112,DC4772,Osho Dhyan Mandir Jhatikra Road,28.553981,76.973148
113,U01432,DAV School,28.6998,77.1452
114,U99774,Mata Din Kaur Public School,28.5977,76.8988
115,DC3797,Natthupura,28.768867,77.180733
116,U01817,South Moti Bagh,28.578,77.175
117,DC3751,Shaheed Bhagat Singh Marg,28.63325,77.212283
118,U02964,Pumposh Enclave,28.5437,77.2438
119,U03604,Trilokpuri 13 Block,28.612817,77.306183
120,U03101,Tara Apartment,28.522667,77.25545
121,U99914,ISBT Kashmere Gate,28.666867,77.229367
122,U02588,Mall Road,28.6943666666667,77.2197666666667
123,U00503,Om Vihar,28.621124,77.051543
124,DC0111,Samaspur Jagir Village,28.615767,77.285467
125,U03030,Narmada Apartment,28.527104,77.251689
126,U01758,APS Colony,28.5744,77.142067
127,U01302,Naraina Vihar,28.625783,77.134233
128,U99799,Shaheed Bhagat Singh Nagar,28.725017,77.029167
129,U00900,Peera Garhi Chowk,28.6783,77.0947
130,U02947,DPS / Police Station Nizamuddin (Lodhi Road),28.593133,77.241917
131,DC3671,Kamal Cinema,28.565108,77.198924
132,U00009,Dhansa Village,28.557833,76.867383
133,U01717,South Patel Nagar (Metro Station),28.6453,77.1683
134,DC3648,ARSD College / Dhaula Kuan,28.590667,77.1683
135,U00482,Sukhbeer Nagar,28.727633,77.04895
136,DC4334,Goyla Dairy,28.579766,77.021478
137,DC4500,New Anaj Mandi,28.618964,76.974469
138,DC4185,Dwarka Sec-21 Crossing,28.550845,77.056046
139,DC3548,Prem Nursary,28.610183,76.971267
140,DC4208,Wazir Pur Industrial Area/ Ashok Vihar Crossing,28.701641,77.167185
